company_name	location	labor_bureau	first_appeared	last_appeared	duration_days	violation_law	violation_summary	prosecution_date	status	crossed_data_gap
（株）特種東海フォレスト	静岡県島田市	静岡労働局	2018-02-15	2018-06-04	109	労働安全衛生法第31条 労働安全衛生規則第653条	高さ４ｍのピツトの開口部に手すり等 を設けることなく、関係請負人の労働 者に作業を行わせたもの	2018-02-15	removed	
（株）ソルテック	大阪府吹田市	大阪労働局	2018-03-14	2020-12-01	993	労働安全衛生法第100条 労働安全衛生規則第97条	休業４日以上の休業を要する労働災害 が発生した際に、虚偽の労働者死傷病 報告を提出したもの	2018-03-14	removed	true
西日本ダイハツ運輸（株） 出雲営業所	島根県出雲市	島根労働局	2018-03-26	2020-12-01	981	労働基準法第32条	労働者４名に、36協定の延長時間を超 える違法な時間外・休日労働を行わせ たもの	2018-03-26	removed	true
日本エレクトロニツクシス テムズ（株）	大阪府大阪市淀川区	広島労働局	2018-03-27	2020-12-01	980	労働安全衛生法第31条 労働安全衛生規則第653条 労働者派遣法第45条	高さ約8.5ｍの作業床の端に手すり等 を設けることなく労働者に作業を行わ せたもの	2018-03-27	removed	true
（株）羽澤建設	愛媛県上浮穴郡久万高原町	愛媛労働局	2018-03-15	2020-12-01	992	労働安全衛生法第20条 労働安全衛生規則第151条の92	走行集材機械（集材車）の運行経路に ついて必要な幅員を保持する等の転落 防止措置を講じなかったもの	2018-03-15	removed	true
禅夢コーポレーション	大阪府大東市	大阪労働局	2018-03-07	2020-12-01	1000	労働基準法第101条	労働基準監督官が臨検した際に、労働 基準監督官の尋問に対し、虚偽の陳述 をしたもの	2018-03-07	removed	true
（株）キョウホー	京都府京都市山科区	福岡労働局	2018-03-15	2020-12-01	992	労働安全衛生法第20条 労働安全衛生規則第147条	真空成型機に、閉じなければ機械が作 動しない戸その他の安全装置を設けず に、労働者に作業をさせたもの		removed	true
北港観光バス（株）	大阪府大阪市旭区	大阪労働局	2018-03-15	2020-12-01	992	労働基準法第32条	労働者４名に、36協定の延長時間を超 える違法な時間外労働を行わせたもの	2018-03-15	removed	true
朝日リース（株）	兵庫県姫路市	兵庫労働局	2018-03-22	2020-12-01	985	労働安全衛生法第21条 労働安全衛生規則第524条	屋根のシート上で作業を行わせる際 に、踏み抜きによる危険を防止する措 置を講じていなかったもの		removed	true
（一社）愛の里やすらぎ	北海道札幌市中央区	北海道労働局	2018-03-19	2020-12-01	988	最低賃金法第４条	労働者２名に、１か月間の定期賃金合 計約21万円を支払わなかったもの	2018-03-19	removed	true
三宅建設（株）	広島県庄原市	広島労働局	2018-03-26	2020-12-01	981	労働安全衛生法第100条 労働安全衛生規則第97条	４日以上の休業を要する労働災害が発 生したのに、遅滞なく労働者死傷病報 告を提出しなかったもの	2018-03-26	removed	true
矢西建設（株）	福岡県福岡市早良区	大分労働局	2018-03-19	2018-07-01	104	労働安全衛生法第20条 労働安全衛生規則第155条	ドラグ・ショベルの作業計画を定めて いなかったもの	2018-03-19	removed	
松岡建設（株）	福島県南相馬市	福島労働局	2018-03-20	2020-12-01	987	労働安全衛生法第100条 労働安全衛生規則第97条	休業４日以上の労働災害が発生したの に、遅滞なく労働者死傷病報告書を提 出しなかったもの	2018-03-20	removed	true
（株）ニシサン 坂城工場	長野県埴科郡坂城町	長野労働局	2018-03-22	2020-12-01	985	労働安全衛生法第100条 労働安全衛生規則第97条	休業４日以上の労働災害が発生したの に、遅滞なく労働者死傷病報告を提出 しなかったもの	2018-03-22	removed	true
（株）綜研名古屋	愛知県名古屋市千種区	愛知労働局	2018-03-08	2018-06-04	88	最低賃金法第４条	労働者２名に対し、１年８か月間の定 期賃金合計約1,250万円を支払わな かったもの	2018-03-08	removed	
（株）飯塚組	群馬県北群馬郡吉岡町	群馬労働局	2018-03-23	2020-12-01	984	労働安全衛生法第22条 労働安全衛生規則第578条	自然換気が不十分な暗渠において、換 気をすることなく内燃機関を有する高 圧洗浄機を使用したもの	2018-03-23	removed	true
グリーン特急（有）	和歌山県紀の川市	和歌山労働局	2018-03-16	2020-12-01	991	労働基準法第37条	労働者１名に、３日間の時間外労働及 び深夜労働に対する割増賃金を支払わ なかったもの	2018-03-16	removed	true
（株）フーズシステム	神奈川県横浜市磯子区	神奈川労働局	2018-03-19	2020-12-01	988	労働安全衛生法第14条 特定化学物質障害予防規則第27 条	殺菌用の薬品の混合作業において、特 定化学物質作業主任者を選任しなかっ たもの	2018-03-19	removed	true
（有）大宮産業	沖縄県うるま市	沖縄労働局	2018-03-22	2020-12-01	985	労働安全衛生法第21条 労働安全衛生規則第534条	高さ約７ｍの地山で作業を行わせてい たのに崩壊等による危険防止措置を 行っていなかったもの	2018-03-22	removed	true
（株）富田製作所	兵庫県明石市	兵庫労働局	2018-03-22	2020-12-01	985	労働安全衛生法第20条 クレーン等安全規則第25条 労働者派遣法第45条	クレーン運転について一定の合図を定 めず、かつ合図者に合図を行わせな かったもの		removed	true
（株）鴻池組	大阪府大阪市中央区	大分労働局	2018-03-19	2018-07-01	104	労働安全衛生法第30条 労働安全衛生規則第638条の４	関係請負人が定めるドラグ・ショベル の作業計画について、法令に適合する よう必要な指導を行わなかったもの	2018-03-19	removed	
日神建設（株）	宮城県仙台市青葉区	兵庫労働局	2018-03-23	2018-07-01	100	労働安全衛生法第100条 労働安全衛生規則第97条	１か月の休業を要する労働災害が発生 したのに、遅滞なく労働者死傷病報告 を提出しなかったもの		removed	
（株）北部市場運送	千葉県船橋市	千葉労働局	2018-03-20	2020-12-01	987	労働基準法第32条	労働者13名に、36協定の締結・届出な く違法な時間外労働を行わせていたも の	2018-03-20	removed	true
将栄建設	広島県東広島市	広島労働局	2018-03-12	2018-06-04	84	労働安全衛生法第100条 労働安全衛生規則第97条 労働者派遣法第45条	４日以上の休業を要する労働災害が発 生したのに、遅滞なく労働者死傷病報 告を提出しなかったもの	2018-03-12	removed	
（株）アスク	兵庫県神戸市中央区	兵庫労働局	2018-03-22	2018-07-01	101	最低賃金法第４条	労働者１名に、１か月間の定期賃金約 18万円を支払わなかったもの		removed	
（株）新進	東京都千代田区	群馬労働局	2018-03-28	2020-12-01	979	労働安全衛生法第20条 労働安全衛生規則第130条の５ 労働者派遣法第45条	労働者に食品加工用混合機を使用させ るにあたり、蓋、囲い等を設けていな かったもの	2018-03-28	removed	true
（株）城島高原オペレー ションズ	大分県別府市	大分労働局	2018-03-23	2020-12-01	984	労働安全衛生法第20条 労働安全衛生規則第107条	ローラーコースターの運転を停止させ ずに検査の作業を行わせたもの	2018-03-23	removed	true
カセイ化学（株）	大阪府高槻市	滋賀労働局	2018-03-09	2020-12-01	998	労働安全衛生法第59条 労働安全衛生規則第36条	労働者をフォークリフトの運転の業務 に就かせるときに、当該業務に関する 特別の教育を行っていなかったもの	2018-03-09	removed	true
極東開発工業（株） 名古 屋工場	愛知県小牧市	愛知労働局	2018-03-22	2018-06-04	74	労働安全衛生法第21条 労働安全衛生規則第518条	高さ３ｍの梁上の作業において、墜落 の危険があるのに作業床を設けなかっ たもの	2018-03-22	removed	
丸美発條（株）	大阪府大阪市淀川区	大阪労働局	2018-03-22	2020-12-01	985	労働安全衛生法第14条 労働安全衛生法施行令第６条 労働安全衛生規則第134条	プレス作業主任者に、プレス機械の切 替キースイッチを保管させなかったも の	2018-03-22	removed	true
（株）飯島管工	茨城県つくばみらい市	茨城労働局	2018-03-15	2020-12-01	992	労働安全衛生法第61条 労働安全衛生法施行令第20条 クレーン等安全規則第68条	無資格の労働者に移動式クレーンを運 転させたもの		removed	true
日本システム通信（株）	愛知県名古屋市西区	愛知労働局	2018-03-23	2020-12-01	984	最低賃金法第４条	労働者２名に対し、２か月間の定期賃 金合計約90万円を支払わなかったもの	2018-03-23	removed	true
岩田建工	岐阜県羽島市	岐阜労働局	2018-03-12	2020-12-01	995	労働安全衛生法第20条 労働安全衛生規則第151条の14	フォークリフトを、主たる用途以外の 用途に使用したもの	2018-03-12	removed	true
廣野板金加工所	山形県新庄市	山形労働局	2018-03-23	2020-12-01	984	労働安全衛生法第21条 労働安全衛生規則第519条	高さ約2.7ｍの屋根の上でトタン板の 葺き替え作業を行わせるに際し、屋根 に手すり等を設けていなかったもの	2018-03-23	removed	true
（株）あめや商店	兵庫県神戸市中央区	兵庫労働局	2018-03-19	2020-12-01	988	最低賃金法第４条	労働者４名に、１か月間の定期賃金合 計約16万円を支払わなかったもの		removed	true
（株）奥村組	大阪府大阪市	岩手労働局	2018-03-09	2018-06-04	87	労働安全衛生法第91条	移動式クレーン転倒事故に係る労働基 準監督官の質問に対して虚偽の陳述を 行ったもの	2018-03-09	removed	
駿河重機運輸（有）	静岡県焼津市	静岡労働局	2018-03-13	2020-12-01	994	労働安全衛生法第61条 労働安全衛生法施行令第20条 クレーン等安全規則第68条	無資格の労働者に移動式クレーンを運 転させたもの	2018-03-13	removed	true
目黒建築	新潟県魚沼市	新潟労働局	2018-03-20	2020-12-01	987	労働安全衛生法第20条 クレーン等安全規則第74条の２	移動式クレーンで、固定していない状 態の単管を吊り上げ、移動させる際、 吊荷の下に労働者を立ち入らせたもの	2018-03-20	removed	true
北陸明治運輸（株）	福井県福井市	福井労働局	2018-03-15	2020-12-01	992	労働基準法第32条	労働者33名に、36協定の延長時間を超 える違法な時間外労働を行わせたもの	2018-03-15	removed	true
永井建設	京都府与謝郡与謝野町	京都労働局	2018-03-06	2018-06-04	90	労働安全衛生法第20条 労働安全衛生規則第161条	ドラグ・ショベルをトラックの荷台か ら積卸す際、道板の固定をしていな かったもの	2018-03-15	removed	
（有）ト・フェ	栃木県宇都宮市	栃木労働局	2018-03-07	2020-12-01	1000	最低賃金法第４条 労働基準法第24条	労働者５名に、２か月間から７か月間 の定期賃金合計約340万円を支払わな かったもの	2018-03-07	removed	true
（株）マスヤマ	埼玉県上尾市	長野労働局	2018-03-05	2020-12-01	1002	労働安全衛生法第22条 有機溶剤中毒予防規則第５条	タンク内においてトルエンを含有した 有機溶剤等を使用させるにあたり、局 所排気装置等を設けていなかったこと	2018-03-05	removed	true
企業組合さくら堂じゃぱん	高知県安芸市	高知労働局	2018-03-05	2020-12-01	1002	最低賃金法第４条	労働者２名に、１か月間の定期賃金合 計約22万円を支払わなかったもの	2017-03-05	removed	true
（資）宮里住宅社	沖縄県本部町	沖縄労働局	2018-03-13	2020-12-01	994	労働安全衛生法第21条 労働安全衛生規則第518条	高さ約６ｍの足場上で作業を行わせて いたのに、墜落防止措置を行っていな かったもの	2018-03-13	removed	true
（株）ポラリス・コーポ レーション	愛知県稲沢市	愛知労働局	2018-03-06	2020-12-01	1001	最低賃金法第４条	障害者を含む労働者10名に対し、１か 月間の定期賃金合計約85万円を支払わ なかったもの	2018-03-06	removed	true
（株）江戸久	愛知県名古屋市千種区	愛知労働局	2018-03-01	2020-12-01	1006	最低賃金法第４条	労働者２名に対し、３か月間の定期賃 金合計約40万円を支払わなかったもの	2018-03-01	removed	true
（株）全建	秋田県秋田市	秋田労働局	2018-03-16	2020-12-01	991	労働基準法第32条	労働者７名に、36協定の延長時間を超 える違法な時間外・休日労働を行わせ たもの	2018-03-16	removed	true
北王流通（株）	埼玉県さいたま市北区	埼玉労働局	2018-03-15	2018-07-01	108	労働安全衛生法第20条 労働安全衛生規則第151条の３	労働者にフォークリフト作業を行わせ るに際し、予め作業計画を作成してい なかったもの	2018-03-15	removed	
富島運輸（株） 沼津物流 センター	静岡県沼津市	静岡労働局	2018-02-14	2020-12-01	1021	労働安全衛生法第20条 労働安全衛生規則第151条3	フォークリフトを用いて作業を行わせ るにあたり、あらかじめ作業計画を定 めなかったもの	2018-02-14	removed	true
（株）安部工務店	大阪府貝塚市	大阪労働局	2018-03-20	2018-06-04	76	労働安全衛生法第31条 労働安全衛生規則第653条	高さ２ｍ以上の作業床で、手すり等を 設けることなく、下請労働者に作業を 行わせたもの	2018-03-20	removed	
（株）水本木工	奈良県吉野郡吉野町	奈良労働局	2018-03-07	2018-06-04	89	最低賃金法第４条 労働基準法第24条	労働者８名に、１か月間の定期賃金合 計約64万円を支払わなかったもの	2018-03-07	removed	
（公財）ふるさと弥栄振興 公社	島根県浜田市	島根労働局	2018-02-26	2018-06-04	98	労働基準法第120条	労働基準監督官への報告に際し、虚偽 の報告を行ったもの	2018-02-26	removed	
（株）大川デザインミュー ジアム	福岡県大川市	福岡労働局	2018-03-06	2020-12-01	1001	労働安全衛生法第21条 労働安全衛生規則第518条	高さ２ｍ以上で墜落のおそれのある箇 所における作業について、足場等によ る作業床を設けなかったもの		removed	true
（株）浜田材木店	新潟県妙高市	新潟労働局	2018-03-16	2020-12-01	991	労働安全衛生法第21条 労働安全衛生規則第519条	高さ2.8ｍの３階床上での建方作業に 際し、墜落防止措置を講じていなかっ たもの	2018-03-16	removed	true
星野技研	栃木県宇都宮市	宮城労働局	2018-03-09	2020-12-01	998	労働安全衛生法第21条 労働安全衛生規則第518条	車庫建設工事現場において、高さ約 3.2ｍの箇所で作業床を設けることな く、作業を行わせたもの	2018-03-09	removed	true
（有）三重板金工業	三重県度会郡度会町	三重労働局	2018-03-06	2020-12-01	1001	労働安全衛生法第21条 労働安全衛生規則第518条	高さ約５ｍの梁の上で作業を行わせる に際し、墜落防止措置を講じなかった もの	2018-03-06	removed	true
大正埠頭作業（株）	大阪府大阪市大正区	大阪労働局	2018-03-15	2020-12-01	992	労働安全衛生法第20条 労働安全衛生規則第151条の７	フォークリフトの運転業務を行わせる に際し、労働者を走行経路に立ち入ら せたもの	2018-03-15	removed	true
（株）ＳＡＴＯＢＡＮ	秋田県秋田市	秋田労働局	2018-03-19	2020-12-01	988	労働安全衛生法第21条 労働安全衛生規則第519条	労働者に、高さ約６ｍの２階屋根上 で、安全帯を使用させることなく、屋 根の葺き替え作業を行わせたもの	2018-03-19	removed	true
（株）にいに	三重県津市芸濃町	三重労働局	2018-03-15	2020-12-01	992	最低賃金法第４条	労働者３名に、１か月間の定期賃金合 計約50万円を支払わなかったもの	2018-03-15	removed	true
金幸設備工業	京都府京都市東山区	滋賀労働局	2018-03-08	2018-07-01	115	労働安全衛生法第21条 労働安全衛生規則第384条	ずい道等の建設の作業を行う場合にお いて、落盤等による危険を防止するた めの措置を講じていなかったもの	2018-03-08	removed	
（株）明正建設	千葉県成田市	千葉労働局	2018-03-14	2020-12-01	993	労働安全衛生法第21条 労働安全衛生規則第534条	地山の崩壊による危険があるのに土止 め支保工を設置することなく労働者を 掘削溝に立ち入らせたもの	2018-03-14	removed	true
（株）市原組	兵庫県西宮市	兵庫労働局	2018-03-23	2018-06-04	73	労働安全衛生法第21条 労働安全衛生規則第519条	深さ約６ｍのマンホールの最上部で安 全帯を使用させることなく撤去作業を 行わせたもの		removed	
（有）広岡重機	広島県広島市東区	広島労働局	2018-03-27	2020-12-01	980	労働安全衛生法第21条 労働安全衛生規則第519条 労働者派遣法第45条	高さ約8.5ｍの作業床の端に手すり等 を設けることなく労働者に作業を行わ せたもの	2018-03-27	removed	true
（有）オガワ包装資材	和歌山県御坊市	和歌山労働局	2018-03-16	2020-12-01	991	労働安全衛生法第61条 労働安全衛生規則第41条	無資格の労働者に、最大荷重１トンの フォークリフトの運転をさせたもの	2018-03-16	removed	true
（株）菊池襖紙工場	埼玉県草加市	埼玉労働局	2018-03-19	2018-07-01	104	労働安全衛生法第61条 労働安全衛生法施行令第20条	無資格の労働者にフォークリフトを運 転させたもの	2018-03-19	removed	
（有）瑞豊	愛知県安城市	愛知労働局	2018-03-16	2020-12-01	991	労働基準法第32条	労働者１名に対し、36協定の締結・届 出なく違法な時間外労働を行わせたも の	2018-03-16	removed	true
（有）義建設	熊本県菊池郡菊陽町	熊本労働局	2018-03-20	2020-12-01	987	労働安全衛生法第20条 労働安全衛生規則第158条	タイヤローラーに接触するおそれのあ る箇所に労働者を立ち入らせたもの	2018-03-20	removed	true
（一社）日亜国際友好協会	福井県福井市	石川労働局	2018-03-09	2020-12-01	998	労働基準法第６条	外国人インターン生10名に対する賃金 の一部を搾取する等により合計254万 円の利益を得たもの	2018-03-09	removed	true
福島基礎工業（株）	福島県福島市	宮城労働局	2018-03-23	2020-12-01	984	労働安全衛生法第20条 労働安全衛生規則第192条	くい打機について、巻上げ用ワイヤ ロープの取付状態に異常がないことを 確認しないまま、使用させたもの	2018-03-23	removed	true
（株）エイ・ティ・エス	京都府京都市中京区	京都労働局	2018-04-24	2018-07-01	68	労働基準法第24条	労働者１名に41日間の定期賃金合計約 61万円を支払わなかったもの	2018-04-24	removed	
（株）藤田	福井県福井市	福井労働局	2018-04-19	2020-12-01	957	労働安全衛生法第21条 労働安全衛生規則第519条	高さ5.6ｍの作業床の端に手すり等を 設けることなく労働者に作業を行わせ たもの	2018-04-19	removed	true
ココペリーナプラゼタン	愛知県一宮市	愛知労働局	2018-04-24	2020-12-01	952	最低賃金法第４条	外国人技能実習生を含む労働者４名に 対し、２か月間の定期賃金を支払わな かったもの	2018-04-24	removed	true
（有）井上プレス	愛知県一宮市	愛知労働局	2018-04-24	2020-12-01	952	最低賃金法第４条	労働者１名に対し、２か月間の定期賃 金を支払わなかったもの	2018-04-24	removed	true
三起製作所	大阪府大阪市平野区	大阪労働局	2018-04-25	2020-12-01	951	労働安全衛生法第20条 労働安全衛生規則第131条	プレス機械に安全囲いを設ける等の措 置を講じなかったもの	2018-04-25	removed	true
クレイシ工業（株） 本社 工場	岐阜県美濃加茂市	岐阜労働局	2018-04-17	2020-12-01	959	労働安全衛生法第20条 クレーン等安全規則第25条	合図者を指名せずに複数の労働者でク レーン作業を行わせたもの	2018-04-17	removed	true
平方晴宏園	福岡県北九州市八幡西区	福岡労働局	2018-04-20	2020-12-01	956	労働安全衛生法第100条 労働安全衛生規則第97条	休業４日以上の労働災害について、災 害発生場所及び発生状況を偽った労働 者死傷病報告を提出したもの	2018-04-20	removed	true
（株）エス・ケー・ツー	東京都中野区	埼玉労働局	2018-04-20	2020-12-01	956	労働基準法第37条	労働者に対し、時間外労働に係る割増 賃金を支払わなかったもの	2018-04-20	removed	true
道央配管工業（株）	北海道美唄市	北海道労働局	2018-04-10	2020-12-01	966	労働安全衛生法第21条 労働安全衛生規則第361条	掘削した深さ約４ｍの溝内で、地山の 崩壊等による危険を防止するための措 置を講じなかったもの	2018-04-10	removed	true
（有）光和工業	千葉県千葉市稲毛区	千葉労働局	2018-03-20	2018-07-01	103	労働安全衛生法第20条 労働安全衛生規則第111条	ボール盤の回転する刃物に作業中の労 働者の手が巻き込まれるおそれがある のに手袋を使用させていたもの	2018-03-20	removed	
三洋グラビア（株） 本 社・ウイングファクトリー	長野県伊那市	長野労働局	2018-04-16	2018-07-01	76	労働安全衛生法第21条 労働安全衛生規則第519条	高さ５ｍの天井裏の作業箇所に手すり 等を設けることなく労働者に作業を行 わせたもの	2018-04-16	removed	
（株）奥村組	大阪府大阪市阿倍野区	岩手労働局	2018-03-09	2020-12-01	998	労働安全衛生法第91条	移動式クレーン転倒事故に係る労働基 準監督官の質問に対して虚偽の陳述を 行ったもの	2018-03-09	removed	true
（株）安部工務店	大阪府貝塚市	大阪労働局	2018-03-20	2020-12-01	987	労働安全衛生法第31条 労働安全衛生規則第654条	高さ２ｍ以上の階段で、手すり等を設 けることなく、下請労働者に作業を行 わせたもの	2018-03-20	removed	true
ハウスクリエイト	大阪府吹田市	大阪労働局	2018-03-20	2020-12-01	987	労働安全衛生法第21条 労働安全衛生規則第552条	高さ２ｍ以上の階段で、手すり等を設 けることなく、労働者に作業を行わせ たもの	2018-03-20	removed	true
（株）材源	京都府京都市上京区	京都労働局	2018-01-10	2018-07-01	172	労働安全衛生法第21条 労働安全衛生規則第518条 労働者派遣法第45条	高さ約10ｍの箇所で作業床を設けるこ となく、労働者に仮設素屋根のシート 取付作業を行わせたもの	2018-01-10	removed	
（有）加藤四郎商店	秋田県秋田市	秋田労働局	2018-03-09	2020-12-01	998	労働安全衛生法第59条 労働安全衛生規則第36条	クレーンの運転の業務に、特別教育を 実施していない労働者を就かせたもの	2018-03-09	removed	true
将栄建設	広島県東広島市	広島労働局	2018-03-12	2020-12-01	995	労働安全衛生法第100条 労働安全衛生規則第97条	4日以上の休業を要する労働災害が発 生したのに、遅滞なく労働者死傷病報 告を提出しなかったもの	2018-03-12	removed	true
永井建設	京都府与謝郡与謝野町	京都労働局	2018-03-06	2018-07-01	117	労働安全衛生法第20条 労働安全衛生規則第161条	ドラグ・ショベルをトラックの荷台か ら積卸す際、道板の固定をしていな かったもの	2018-03-15	removed	
かつめし家牛庵	三重県四日市市	三重労働局	2018-04-20	2018-07-01	72	最低賃金法第４条	労働者１名に、１か月間の定期賃金 約８万円を支払わなかったもの	2018-04-20	removed	
（有）甲府第一運送	山梨県中央市	山梨労働局	2018-04-06	2020-12-01	970	労働安全衛生法第61条 労働安全衛生法施行令第20条	無資格の労働者に、最大荷重2.8トン のフォークリフトを運転させたもの	2018-04-06	removed	true
（株）ワールド重機開発	長野県上田市	長野労働局	2018-04-26	2020-12-01	950	労働安全衛生法第100条 労働安全衛生規則第97条	休業４日以上の労働災害が発生したの に、遅滞なく労働者死傷病報告を提出 しなかったもの	2018-04-26	removed	true
（株）岸本組	北海道美唄市	北海道労働局	2018-04-10	2020-12-01	966	労働安全衛生法第30条 労働安全衛生規則第638条の４	関係請負人が定めるドラグ・ショベル の作業計画について、法令に適合する よう必要な指導を行わなかったもの	2018-04-10	removed	true
琴祥	愛知県一宮市	愛知労働局	2018-04-24	2020-12-01	952	最低賃金法第４条	労働者２名に対し、２か月間の定期賃 金を支払わなかったもの	2018-04-24	removed	true
（株）水本木工	奈良県吉野郡吉野町	奈良労働局	2018-03-07	2020-12-01	1000	最低賃金法第４条	労働者８名に、１か月間の定期賃金合 計約64万円を支払わなかったもの	2018-03-07	removed	true
（株）ヤマウラ	長野県駒ヶ根市	長野労働局	2018-04-17	2020-12-01	959	労働安全衛生法第31条 労働安全衛生規則第653条	高さ約7.7ｍの工場の屋根上におい て、開口部に覆い等を設けることなく 請負人の労働者に作業を行わせたもの	2018-04-17	removed	true
（有）竹田縫製	福井県福井市	福井労働局	2018-04-18	2020-12-01	958	最低賃金法第４条	外国人技能実習生６名に、１か月間の 定期賃金合計約98万円を支払わなかっ たもの	2018-04-18	removed	true
駒ヶ根ダイカスト工業 （株）	長野県駒ヶ根市	長野労働局	2018-04-18	2020-12-01	958	労働安全衛生法第14条 労働安全衛生法施行令第６条 労働安全衛生規則第134条	プレス機械の安全装置に異常があった のに、プレス作業主任者に必要な措置 を講じさせなかったもの	2018-04-18	removed	true
（株）美研インターナショ ナル	東京都港区	東京労働局	2018-04-20	2020-12-01	956	最低賃金法第４条	労働者３名に、２か月間の定期賃金合 計約50万円を支払わなかったもの	2018-04-20	removed	true
（有）長沼商店	群馬県伊勢崎市	群馬労働局	2018-02-20	2020-12-01	1015	労働安全衛生法第20条 労働安全衛生規則第130の５	労働者に食品加工用粉砕機を使用させ るにあたり、蓋、囲い等を設けていな かったもの	2018-02-20	removed	true
斎藤左官	島根県益田市	島根労働局	2018-04-25	2020-12-01	951	労働安全衛生法第21条 労働安全衛生規則第519条	高さ約3.9ｍの建屋の屋根の端に、手 すりを設けることなく労働者に作業を 行わせたもの	2018-04-25	removed	true
（株）マルソー・トランス ポート	新潟県三条市	新潟労働局	2018-04-17	2020-12-01	959	労働安全衛生法第100条 労働安全衛生規則第97条	４日以上の休業を要する労働災害につ いて、遅滞なく労働者死傷病報告書を 提出しなかったもの	2018-04-17	removed	true
（株）増田運送	大阪府大阪市住之江区	大阪労働局	2018-04-27	2020-12-01	949	労働基準法第32条 労働基準法第35条	36協定を締結することなく、労働者に 違法な時間外労働・休日労働を行わせ たもの	2018-04-27	removed	true
王子製紙（株） 春日井工 場	愛知県春日井市	愛知労働局	2018-04-25	2020-12-01	951	労働安全衛生法第22条 特定化学物質障害予防規則第22 条	特定化学物質を貯蔵する設備の作業に おいて、労働者に保護衣、呼吸用保護 具等を着用させなかったもの	2018-04-25	removed	true
（特非）Ｇｒｏｗｔｈ	京都府京都市伏見区	京都労働局	2017-12-21	2018-07-01	192	労働基準法第24条	労働者13名に３か月間の定期賃金合計 約152万円を支払わなかったもの	2017-12-21	removed	
（株）タニコーテック	福井県大野市	福井労働局	2018-04-20	2020-12-01	956	労働基準法第32条	労働者21名に、36協定の延長時間を超 える違法な時間外労働を行わせたもの	2018-04-20	removed	true
金幸設備工業	京都府京都市東山区	滋賀労働局	2018-03-08	2020-12-01	999	労働安全衛生法第21条 労働安全衛生規則第384条	ずい道等の建設の作業を行う場合にお いて、落盤等による危険を防止するた めの措置を講じていなかったもの	2018-03-08	removed	true
（株）ユアーズホーム	新潟県長岡市	新潟労働局	2018-05-17	2020-12-01	929	最低賃金法第４条	労働者７名に、１か月間の定期賃金合 計約276万円を支払わなかったもの	2018-05-17	removed	true
翼工業(株)	大分県中津市	大分労働局	2018-05-02	2020-12-01	944	労働安全衛生法第21条 労働安全衛生規則第534条	深さ４ｍの掘削した溝内での下水管設 置工事において、土砂等の崩壊による 危険防止措置を行わなかったもの	2018-05-02	removed	true
（株）会津丸三	福島県会津若松市	新潟労働局	2018-05-10	2020-12-01	936	労働安全衛生法第21条 労働安全衛生規則第537条	解体物を階下に下ろす作業場所付近 に、物体落下による危険の防止措置な く労働者を立ち入らせたもの	2018-05-10	removed	true
（株）フラット・フィール ド・オペレーションズ	大阪府泉大津市	大阪労働局	2018-05-22	2020-12-01	924	労働基準法第32条	36協定を締結することなく、労働者に 違法な時間外労働を行わせたもの	2018-05-22	removed	true
（株）鴻池組	大阪府大阪市中央区	大分労働局	2018-03-19	2020-12-01	988	労働安全衛生法第30条 労働安全衛生規則第638条の4	下請が定める車両系建設機械の作業計 画が不十分なのに、必要な指導を行わ なかったもの	2018-03-19	removed	true
矢西建設（株）	福岡県福岡市	大分労働局	2018-03-19	2020-12-01	988	労働安全衛生法第20条 労働安全衛生規則第155条 労働安全衛生規則第157条	車両系建設機械の作業計画を定めず、 また車両系建設機械の誘導員を配置し なかったもの	2018-03-19	removed	true
地盤工事（株）	青森県青森市	青森労働局	2018-05-07	2020-12-01	939	労働安全衛生法第100条 労働安全衛生規則第97条	労働災害の発生状況を偽った労働者死 傷病報告を提出したもの	2018-05-07	removed	true
西城町森林組合	広島県庄原市	広島労働局	2018-05-14	2020-12-01	932	労働安全衛生法第100条 労働安全衛生規則第97条	４日以上の休業を要する労働災害が発 生したのに、遅滞なく労働者死傷病報 告を提出しなかったもの	2018-05-14	removed	true
（株）森工業	東京都葛飾区	東京労働局	2018-05-08	2020-12-01	938	労働安全衛生法第20条 労働安全衛生規則第370条	組立図により土止め支保工を組み立て なかったもの	2018-05-08	removed	true
（株）小林組	新潟県長岡市	新潟労働局	2018-05-17	2020-12-01	929	労働安全衛生法第30条 労働安全衛生規則第638条の3	河川工事において、主要機械、設備及 び作業用の仮設建築物の配置に関する 計画を作成していなかったもの	2018-05-17	removed	true
三和ドック（株）	広島県尾道市	広島労働局	2018-05-09	2020-12-01	937	労働安全衛生法第30条 労働安全衛生規則第636条	船舶修繕作業において、関係請負人の 労働者が作業を行う際に、必要な作業 間の連絡及び調整を行わなかったもの	2018-05-09	removed	true
（有）光和工業	千葉県千葉市稲毛区	千葉労働局	2018-03-20	2020-12-01	987	労働安全衛生法第20条 労働安全衛生規則第111条	ボール盤の回転する刃物に作業中の労 働者の手が巻き込まれるおそれがある のに手袋を使用させていたもの	2018-03-20	removed	true
（株）岩田組	愛知県名古屋市中川区	愛知労働局	2018-05-24	2020-12-01	922	最低賃金法第４条	労働者１名に対し、１か月間の定期賃 金合計約100万円を支払わなかったも の	2018-05-24	removed	true
